Features	SFB001_1	SFB002_1	SFB007_1	SFB013_1	SFB016_1	SFB017_1	SFB018_1	SFB019_1	SFB020_1	SFB021_1	SFB024_1	SFB025_1	SFB026_1	SFB029_1	SFB031_1	SFB032_1	SFB045_1	SFB046_1	SFB053_1	SFB054_1	SFB055_1	SFB058_1	SFB059_1	SFB062_1	SFB063_1	SFB065_1	SFB066_1	SFB068_1	SFB072_1	SFB073_1	SFB074_1	SFB076_1	SFB077_1	SFB078_1	SFB079_1	SFB080_1	SFB081_1	SFB082_1	SFB083_1	SFB085_1	SFB086_1	SFB091_1	SFB093_1	SFB096_1	SFB097_1	SFB099_1	SFB101_1	SFB102_1	SFB103_1	SFB105_1	SFB107_1	SFB109_1	SFB110_1	SFB113_1	SFB114_1	SFB115_1	SFB121_1	SFB123_1	SFB124_1	SFB127_1	SFB130_1	SFB132_1	SFB133_1	SFB003_1	SFB004_1	SFB008_1	SFB087_1	SFB090_1	SFB106_1	SFB112_1	SFB118_1	SFB119_1	SFB120_1	SFB122_1	SFB125_1	SFB126_1	SFB129_1
GenusDelta_Oxalobacter	0	0	0	2	0	0	0	3	-8	0	0	0	2	0	0	3	3	0	0	1	0	1	0	1	-1	0	0	0	-2	4	0	0	0	0	0	0	0	0	-1	-5	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	-9	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	5	-4	0	-4
GenusDelta_Paludicola	0	0	0	1	0	-1	0	-3	0	-9	0	0	5	0	0	1	-4	0	4	0	0	0	-2	0	-2	0	0	0	0	-2	0	-5	0	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	-1	-1	0	-3	-1	0	-1	0	0	0	-2	0	0	12	0	0	-13	0	-4	-5	-2	0	0	0	1	-3	0	0	-12
GenusDelta_Papillibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
GenusDelta_Parabacteroides	308	-28	-27	36	-40	10	0	106	-110	22	45	56	13	291	0	-24	-42	391	-140	-35	143	-84	-221	-27	-251	58	-66	-17	-37	136	-38	-20	-96	-85	6	0	9	66	-188	-134	-49	-63	16	402	0	39	-22	-19	-98	-64	26	11	-705	41	-3	-23	-179	-45	-50	-43	-25	-95	39	-1080	24	-314	-82	168	-140	-182	877	-4	220	-390	-172	-10	-7
GenusDelta_Paraprevotella	0	0	0	0	0	-6	0	41	0	0	-11	-49	4	-18	-459	-24	0	0	32	-17	0	0	0	79	0	75	0	-9	-12	-9	0	0	0	0	0	0	0	0	-19	0	11	0	-36	0	0	0	0	-17	33	-100	0	0	0	-29	36	0	-193	-103	16	0	-60	-6	-132	0	-72	0	25	0	0	0	0	0	3	-39	0	0	-74
GenusDelta_Parasutterella	0	0	0	-13	0	0	0	0	0	6	0	-2	0	0	-6	1	0	0	-12	0	0	0	0	13	0	0	0	-4	0	0	0	0	0	0	0	0	0	0	4	0	2	-39	0	-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	-3	0	0	0	0	0	0	0	0	3	0	0	3
GenusDelta_Parolsenella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GenusDelta_Parvimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-29	0	0	0	0	0	0	0	0	0	0
GenusDelta_Peptococcaceae_Incertae_Sedis	0	0	0	0	-1	-5	0	0	0	0	0	0	12	0	0	-13	3	0	1	0	0	1	0	10	-1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	-4	-1	0	7	0	0	0	-1	0	0	-2	0	0	0	5	0	0	0	0	-1	0	3	0	0	0	1
GenusDelta_Peptococcus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	-2	0	3	0	0	2	0	0	16	0	0	0	0	-2	0	0	0	-6	0	0	10	0	0	0	64	-14	0	1
GenusDelta_Peptoniphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	37	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	-49	0	0	0	0	0	0	0	0	0	0
GenusDelta_Peptostreptococcus	0	0	-3	0	0	0	-1	0	0	0	-3	-5	-5	-2	-5	0	0	0	0	0	-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-8	0	0	0	0	2	0	0	0	0	0
GenusDelta_Phascolarctobacterium	-108	0	0	266	0	-24	0	-3	-22	0	0	-38	150	-151	0	-114	-6	52	0	97	431	38	0	102	-225	0	-3	-161	-17	141	-13	0	-3	-262	0	0	-89	-466	-13	-85	-12	-669	-61	-255	0	35	0	186	-2	-2	50	174	-196	490	112	1	1	-105	1	4	-890	-117	-249	-230	-86	-313	-603	28	0	-57	57	5	46	112	-2	621	-118
